NH3-N,TN,TKN,TP,Orthophosphate,SST,WATER TEMP.,CONDUCTIVITY,pH,OD mg/L
0.201166,11.604647,0.201166,0.555031,0.318069,72.22,29.1,978,8.3,6.12
0.25698,8.30853,0.94796,0.3582,0.05615,178,21.4,479,7.9,6.79
0.30402,4.09227,0.83023,0.20313,0.09914,64,25.1,497,8.3,6.67
0.2191,4.69378,0.2191,0.04157,0.02739,35.76,27.2,745,8.3,9.71
0.145028,12.369357,0.145028,0.12892,0.04177,51,30.1,1041,8,7.68
0.33516,12.81304,0.91545,0.36949,0.09652,381.25,29.8,1025,8.2,6.17
0.35,,,,0.02541,2150,30.1,996,8.3,5.28
0.46525,13.44722,0.46525,0.28085,0.16058,92,26.1,838,8.1,7.86
0.578441,9.28221,1.234711,0.16812,0.19082,97.5,23.7,628,8,8.02
0.349382,7.383496,1.650542,0.15635,0.11452,108.57,27.8,547,8.3,7.95
0.055227,12.017923,0.055227,0.12181,0.10602,17,27.8,995,8,4.36
0.353465,16.656703,0.353465,0.21154,0.14773,112.22,29.3,1020,8.1,7.41
0.376644,14.560089,4.031464,0.82088,0.17144,630,26.6,622,8.3,6.35
1.324663,13.889549,1.324663,0.21575,0.13889,140,23.7,648,8,6.13
0.771119,14.821134,0.771119,0.55506,0.18363,74,27.7,853,7.5,6.05
0.115854,18.43652,0.375611,0.27798,0.09155,42.89,31.1,1125,8.5,7.72
26.0631,33.8915,33.8578,3.3874,2.6639,82.5,24.6,1289,7.44,1
,,,,,10,23.2652,1474.11,8.8367,6.8706
38.0549,48.9546,48.6,10.1943,4.8107,110,27,1064,7.41,1
26.656,30.4496,30.334,4.5785,3.3074,60,28.8,792,7.51,1
35.8636,38.9768,38.9384,4.1408,1.9145,91.6667,32.3,1004,7.46,1
18.2857,25.9004,25.8745,4.1587,3.077,68.33,33.6,1148,7.33,1
28.2056,30.3496,30.2927,5.2497,2.2076,355,31.9,1045,7.47,1
39.795,47.997,47.862,5.148,2.597,87.5,31.8,1151,7.6,1
33.249,33.336,33.249,4.114,2.305,95,26,952,7.46,
35.116,35.404,35.116,4.505,2.341,75,29.2,1041,7.5,
29.537,29.72,29.537,4.598,3.605,70,32.1,1261,7.6,1
28.683,28.715,28.683,4.284,2.821,110,32.5,1136,7.5,1
2.616,4.834,4.807,,,113.3,31,1024,7.3,
27.107,28.584,28.56,4.62,2.763,100,31,1558,7.5,
25.792025,35.5766,34.5165,4.9058,2.0855,180,24,847,7.26,3.67
16.353222,29.947694,29.9377,5.0093,2.641273,120,27.5,851,8.2,1
23.137024,33.100377,33.0578,5.2025,2.7632,95,29.2,923,7.5,1
21.940374,27.1264,27.1011,3.339,1.3918,76.67,31.8,940,7.4,1
24.866028,29.257794,29.182358,3.482239,1.68489,70,33.3,993,7.4,1
0.405481,,0.405481,0.542565,0.436401,34,32.9,1027,8.1,3.98
29.098322,32.181207,32.12373,4.591093,2.488217,80,26.2,965,7.4,1
30.711693,33.907402,33.859692,5.29664,2.979954,124,28.2,896,7.6,1
39.583599,39.833728,39.657871,5.191041,3.483165,90,30.9,985,7.5,1
31.079334,34.196902,34.183228,4.533333,2.971041,71.43,31.2,1052,7.4,1
29.866316,35.19306,35.168835,4.464686,2.458776,90,31.4,1216,7.4,1
29.848927,31.733175,31.693029,4.73266,3.023629,92,31.6,1094,7.8,1
32.58129,37.7186,37.69523,5.20343,2.36501,86.67,25.7,903,7.5,1
42.98005,46.72232,46.66905,6.57158,4.31857,100,27.2,1002,7.6,1
37.75877,38.62025,38.56032,4.91742,3.11469,100,30.1,962,7.4,1
35.064362,44.041148,43.997974,5.94021,4.242,90,33.4,1103,7.2,1
38.40585,44.87022,44.5273,6.21746,1.92367,140,33.2,1108,7.5,1
39.7544,39.88561,39.7544,4.25658,2.15423,300,32.9,1028,7.8,1
23.6781,34.58997,34.53887,4.84717,3.15037,105.41,23.7,811,7.5,1
29.712812,31.749283,31.720182,4.67045,3.72017,103.03,24.8,819,7.5,1
24.875034,32.392038,31.789724,4.20446,3.07706,100,27.2,844,7.7,1.04
26.266533,28.494685,28.472053,3.98338,2.68502,74,33.2,1005,7.5,1
21.761337,24.459884,24.426127,3.68376,2.35338,90,28.9,887,7.5,1
23.607418,35.159224,34.878718,5.11146,2.65279,145,27.9,807,7.9,1
24.85099,30.526969,30.51026,3.55145,2.47462,112.5,24.8,746,7.4,1.16
23.63839,30.410829,30.3674,3.95302,2.82185,71.67,30.8,976,7,1
32.34893,33.12502,33.061951,4.52548,3.43893,83.67,32.8,1067,7.8,1
0.0357,0.4208,0.224,0.0873,0.0254,16,22,196.3,8.16,8.57
0.0693,0.6464,0.5227,0.1041,0.0237,46.25,24.9,157.5,8.19,8.4
0.0388,0.7188,0.6732,0.261,0.029,23,29,236,8.48,8.12
0.0362,0.5477,0.389,0.1145,0.0116,66.25,35.4,368,7.98,6.91
0.9146,2.851,2.0883,0.5425,0.0865,545,30.4,186.5,8.12,2.98
0.0956,2.1101,0.8018,0.3052,0.0665,175,30.8,285,8.05,6.05
0.052,1.954,1.242,0.537,0.074,210,27.5,152,7.37,5.42
0.047,0.634,0.265,0.079,0.097,17.5,23.5,185.5,8.53,8.35
0.21,0.541,0.329,0.077,0.063,31.3,25,201,8.3,8.5
0.068,0.816,0.64,0.103,0.044,38.1,27.5,282,8.4,8.6
0.24,1.597,1.032,0.56,0.062,235,32.4,523,8.1,6.4
0.103939,0.540526,0.453626,0.063354,0.0274,22.67,25.4,266,8.7,8.53
0.272972,0.735977,0.506991,0.093084,0.053627,30,25.3,211,8.5,8.15
0.123213,0.687924,0.525863,0.140956,0.063459,24.62,34.2,386,8.5,7.26
0.220356,3.540504,2.612894,0.698714,0.136561,290,30.5,178,7.5,6.83
0.189049,1.452828,1.172716,0.235552,0.08234,185,31.5,233,8.5,7.3
0.293086,1.111752,0.771,0.414716,0.055222,130,28.1,212,7.6,8.34
0.035227,0.686572,0.480997,0.085634,0.030728,15.33,21.5,203,8.3,8.94
0.257023,1.194171,0.674296,0.100654,0.100654,13.5,24.5,220,8.5,8.86
0.087427,0.470981,0.3661,0.1671,0.00499,15.33,26.8,255,8.8,8.07
0.436253,1.688114,1.361679,0.232403,0.099557,130,31.1,338,8,6.48
0.366284,2.036983,1.307167,0.449357,0.10898,158,30.1,329,7.6,8.09
0.04563,0.64628,0.57344,0.0329,0.00543,13,20.9,218,8.4,8.92
0.03728,0.6566,0.43158,0.05892,0.08766,18,22.8,233,8.4,8.32
0.22499,0.70669,0.47542,0.10909,0.06911,23.86,26.8,202,8.3,7.51
0.206707,0.963869,0.860341,0.09106,0.0337,18,31.4,295,7.9,6.86
0.582392,5.305166,4.077266,0.93972,0.1626,706.67,28.7,202,8.8,7.34
0.62181,3.73618,3.35849,0.55717,0.09889,95.71,30.2,304,8,5.86
0.03527,0.91411,0.595,0.06942,0.05767,29,21.8,149,8.5,8.74
0.872115,1.047972,0.872115,0.05718,0.09764,30.27,22.4,183,8.6,8.68
0.070754,0.655701,0.586824,0.05187,0.05187,12,25.7,296,8.1,6.98
0.080332,0.785309,0.658992,0.05114,0.02723,15.5,30.3,235,8.2,6.46
0.645525,2.990849,1.629085,0.21326,0.13842,80,28.3,528,8,6.98
0.056103,0.730905,0.508463,0.11103,0.06277,48.67,24.1,187,8.6,8.16
0.102781,0.626554,0.454351,0.08672,0.02061,20.5,21.4,183,8.5,8.18
0.203522,3.18783,2.506202,0.32577,0.07985,148,31.2,267,7.6,8.06
0.516223,2.69716,2.32057,0.24521,0.07263,65,31.6,373,7.9,5.61
0.0452,0.4325,0.2152,0.0622,0.0242,22.25,22.5,173,8.16,8.22
0.0526,0.6339,0.5241,0.0997,0.0292,30.5,,183.5,8.03,7.49
0.1075,0.9559,0.8761,0.0629,0.0251,37,28.4,209,7.17,7.71
0.0576,0.6756,0.4398,0.1285,0.0166,82,35.8,364,7.96,6.61
0.6683,2.5547,1.5959,0.578,0.1472,425,30.7,207.6,8.03,5.11
0.0947,1.4245,0.897,0.3287,0.0509,197.5,29.7,230,7.98,6.5
0.077,1.805,1.18,0.501,0.066,205,26.3,125,7.71,5.32
0.053,0.543,0.326,0.96,0.041,25,24.1,208,7.95,8.58
0.217,0.627,0.412,0.059,0.031,21.7,25.3,212,8.2,8.6
0.058,1.158,0.957,0.151,0.043,45.6,27.2,263,8.4,8.2
0.023,3.406,1.919,0.61,0.102,580,31,434,8.2,5.3
0.053,1.64,1.128,0.202,0.067,83.3,32.5,497,8.3,6.6
0.289818,0.429851,0.336051,0.061371,0.029,21.25,24.6,238,8.5,7.79
0.107946,2.35641,0.508228,0.088139,0.051166,16.25,25.7,287,8.5,8.39
0.123606,0.886092,0.776221,0.164498,0.055852,30,33.7,390,8.9,10.02
0.239477,3.644194,2.719078,0.919993,0.139834,580,34.8,206,7.2,6.03
0.178053,1.450534,1.168847,0.029695,0.029695,140,31.1,229,8.3,6.78
0.080679,1.001892,0.663,0.392316,0.058724,110,28.8,210,7.7,7.3
0.082757,,0.578431,0.086217,0.086217,7,22,211,7.4,8.26
0.04876,0.711652,0.589208,0.067563,0.03159,9.5,24.5,213,8.2,8.62
0.091733,0.668417,0.4808,0.1688,0.042882,9.5,27.2,259,8.7,8.35
0.222472,1.249954,0.952459,0.156849,0.094556,62.86,31.5,343,7.7,5.68
0.342979,2.2343,1.351599,0.551499,0.124156,313.33,30.5,302,7.6,6.16
0.295228,1.617367,1.045183,0.434018,0.092978,236,30.5,395,8.1,7.02
0.08023,0.7214,0.41848,0.03351,0.01039,17,22.7,220,8.1,8.26
0.04408,0.51295,0.44866,0.06225,0.04386,16,23.5,235,8.3,7.75
0.16188,0.83454,0.82814,0.11866,0.01189,21.76,27.6,256,8.1,7.19
0.120608,1.002356,0.900824,0.13265,0.04954,18.5,33.2,362,8.1,7.11
0.610868,5.234924,3.910853,1.00365,0.13873,620,29.8,204,8.2,6.61
0.35915,1.75775,1.19225,0.24542,0.16723,168,32.6,290,8.3,6.26
0.15687,1.04039,0.84631,0.07851,0.02412,48.89,22.4,210,8.6,8.56
0.555444,1.773352,1.314574,0.08186,0.04026,36.25,23.6,255,8.1,7.05
0.087663,0.706429,0.610783,0.07127,0.03772,27,25.4,245,8.4,8.22
0.057268,1.044792,0.793608,0.08178,0.02938,66.9,30.6,220,8.2,6.57
0.838002,3.086029,1.889142,0.22514,0.16146,136.92,29.5,542,7.9,5.46
0.046975,0.990957,0.633355,0.11593,0.05508,62.67,25.1,190,8.5,7.6
0.112219,0.69498,0.486649,0.09088,0.02211,23.5,21.8,184,8.4,7.56
0.224865,2.668807,1.957395,0.31514,0.09489,134.29,26.6,258,7.7,6.43
0.128319,1.20334,0.844786,0.20243,0.10786,61.6,30.7,710,9,3.85
0.0549,0.0738,0.0678,0.0269,0.001,9.6667,28.8,232,8.16,5.64
0.1504,1.0913,0.9319,0.2029,0.0056,33.6667,22.6,327,8.15,8.76
0.0327,0.7229,0.4985,0.1197,0.0318,16.3333,27.3,201.8,8.19,8.45
0.1484,0.6622,0.2606,0.0315,0.0363,21,30.9,340,8.6,7.89
0.0519,1.8776,1.7962,0.3377,0.0432,117,33.8,563,8.43,10.56
0.5149,3.8166,2.8542,0.3946,0.081,195,33,317,8.03,6.13
0.068,1.897,1.205,0.566,0.071,277.5,27.2,150,8.01,7.49
0.066,0.627,0.35,0.074,0.041,18,23.1,198,8.22,8.62
0.099,0.457,0.345,0.132,0.033,9.3,26.5,256,8.55,8.45
0.044,0.72,0.461,0.125,0.05,41.7,31.8,329,8.4,7.9
0.242,2.866,1.488,0.402,0.091,254,33,444,8.1,5.9
0.543,2.99,1.054,0.191,0.097,130,33.3,536,7.9,6.7
0.179,1.123,0.714,0.197,0.081,103.3,30.5,365,8.1,6.9
0.073819,0.607232,0.379632,0.0756,0.0363,50,25.5,261,8.4,9
0.070152,0.378149,0.3249,0.0555,0.037632,24,25.6,247,7.8,8
0.072268,0.653587,0.462403,0.109959,0.066077,10,26.6,294,8.5,8.16
0.110311,1.037018,0.750158,0.164354,0.0477,34,30,386,7.4,7.69
0.085017,1.865117,1.30634,0.228085,0.084384,24,36,354,9.1,10.39
0.078911,1.078483,0.835864,0.229686,0.040069,96,30.4,203,7.4,6.36
0.03253,0.529825,0.522,0.0951,0.011596,21,24.1,217,8.6,9.22
0.106141,0.400453,0.374658,0.079866,0.031575,15.5,24.9,224,8.3,9.35
0.296488,0.677586,0.544514,0.113074,0.0694,9,29.6,218,7.6,7.02
0.264363,1.543959,1.089215,0.423096,0.093183,114,33.5,449,7.9,5.63
0.171283,1.502687,1.041945,0.2179,0.066977,45,32.2,394,8.3,5.87
0.163534,0.79337,0.66569,0.324135,0.034566,86,29.5,238,8.1,7.02
0.05378,0.5546,0.49103,0.03271,0.00703,10,21.1,226,8,8.31
0.06854,0.98973,0.51823,0.07555,0.05925,10,28.8,205,8.3,7.14
0.09317,0.62301,0.46555,0.07728,0.05585,12,28.1,291,8.1,7.01
0.43497,5.186818,3.163357,0.90277,0.17594,800,28.9,185,7.7,4.91
0.42438,3.25804,2.37492,0.58245,0.10933,780,30.4,431,7.9,5.37
0.31842,1.53531,1.1571,0.12496,0.11678,158,28.7,227,7.6,6.54
0.391696,1.1049,0.664676,0.08471,0.05602,19,21.8,315,8.2,6.96
0.081408,0.795572,0.570118,0.04806,0.07812,12.5,23.1,289,8.3,8.15
0.224883,0.880879,0.630973,0.08332,0.001,19,28.2,378,8.8,7.72
0.236025,1.75017,1.318445,0.21018,0.0707,97.18,31.7,430,9,6.02
0.079001,1.257599,0.789461,0.1916,0.10612,103,27.9,214,7.9,7.22
0.075962,1.178751,0.930302,0.08203,0.08016,13,26.7,290,8.2,8.4
0.060565,0.701459,0.545115,0.05315,0.03395,12.5,22.5,217,8.6,8.15
0.186018,2.340139,1.644858,0.34121,0.09405,162,28.2,230,7.2,6.48
0.197756,2.09185,1.489071,0.32272,0.11676,120.8,27.6,287,8.7,6.01
0.1029,0.6901,0.5338,0.122,0.3526,58,25.9,,8.18,6.24
0.2281,0.5599,0.3741,0.1206,0.0754,36.6667,25.9,,8.18,6.24
0.043,0.6265,0.553,0.0969,0.022,17.5,27.9,211.5,8.16,8.05
0.0364,0.5641,0.5543,0.0797,0.0289,32.5,30.6,216.5,8.89,10.01
0.6934,3.6307,2.8006,1.2302,0.1941,765,27.5,313,8.55,5.87
0.3538,1.9948,1.8488,0.4653,0.0207,295,31,300,7.82,5.44
0.436,2.384,1.601,0.495,0.077,290,30,220,8,7.02
0.057,1.794,1.059,0.561,0.077,265,25.7,139,7.2,5.5
0.063,0.721,0.465,0.118,0.041,22.5,23.8,202.6,8.08,8.01
0.084,0.602,0.332,0.086,0.029,31.5,25,211,8.5,8.6
0.133,0.729,0.341,0.159,0.091,12.5,29.7,332,7.9,7.1
0.365,1.371,1.358,,,132.5,33.1,490,7.7,7.9
0.408,3.181,1.171,0.248,0.102,123.3,33.1,562,8,6
0.214,1.746,1.241,0.329,0.059,176.7,33.4,514,6.8,6.7
0.093385,0.445766,0.373166,0.080409,0.0356,36,25.3,238,8.8,8.07
0.057705,0.373429,0.334969,0.116395,0.3561,8.67,27.8,301,8.5,8.27
0.108366,1.114387,0.7203,0.1414,0.057713,14,33.4,412,8.6,8.61
0.119146,2.223843,1.777325,0.31061,0.797348,225,34.6,402,8.2,7.99
0.088244,0.795846,0.6082,0.18232,0.062644,80,29.1,218,8.6,6.65
0.080685,1.026796,0.7012,0.410443,0.057558,112,27.4,210,7.8,7.87
0.050387,0.596202,0.534228,0.097479,0.025389,17,23.5,213,8.3,10.06
0.121561,0.65926,0.522216,0.066209,0.034239,9,23.7,212,8.5,8.72
0.158333,0.493302,0.343456,0.17217,0.063531,13,25.8,248,8.3,7.4
0.146966,0.919496,0.682404,0.327673,0.097643,66,30.8,327,8,6.47
0.336117,1.436735,1.146203,0.296956,0.066799,77.14,32.3,405,8.6,7.92
0.195671,0.898058,0.635642,0.321163,0.056142,81,27.4,227,8,7.3
0.03393,0.36401,0.30898,0.02646,0.00682,10,22.2,223,6.3,9.16
0.14564,0.61416,0.52535,0.06474,0.03664,10,26.2,263,8.3,8.32
0.20055,0.67961,0.53472,0.07292,0.06552,10,28.6,293,8.3,8.09
0.178463,0.875953,0.744367,0.12512,0.08883,27.5,32.2,368,8.2,7.78
0.3228,1.81413,0.93208,0.15187,0.07692,40.77,32.7,370,8.3,6.02
0.27089,2.82544,2.34288,0.39767,0.09288,290,27.7,214,8,6.51
0.107827,3.124971,0.732547,,,10.5,21.7,283,8.4,9.92
0.01628,0.804117,0.69676,0.04378,0.02911,14.5,22.1,290,8.5,8.22
0.047107,0.750928,0.627817,0.06591,0.09161,12,26.5,264,8.6,8.84
0.271481,1.945801,1.523671,0.24202,0.08042,117.14,31.6,431,8,5.12
0.29948,1.702771,1.07728,0.29031,0.12279,172,27.5,260,7.9,7.65
0.086257,0.749894,0.511297,0.10676,0.0435,20.5,25.3,217,8.1,8.19
0.202782,0.604412,0.525342,0.07135,0.03852,12,21.9,215,8.2,8.37
0.228023,1.252795,1.247113,0.22253,0.14544,74,29.9,237,7.4,6.98
0.17889,1.98989,1.416759,0.28886,0.10895,131.2,27.9,286,8.4,6.41
0.0596,0.6924,0.5019,0.1226,0.1782,28,24.6,240,8.19,6.04
0.081771,1.19419,0.083457,0.091956,0.026362,8.33,24.057,391.88,7.497,6.272
0.2461,0.758,0.5861,0.1622,0.0062,16,24.3,247,8.53,8.57
0.072,0.655,0.4877,0.1214,0.0232,17,26.4,198,8.19,8.56
0.1227,0.9144,0.7205,0.0931,0.0597,13.6667,31.1,325,8.47,7.39
0.0668,1.5374,1.1291,0.2185,0.0518,54.29,33.8,523,8.04,7.6
1.9277,4.2211,3.3654,0.7144,0.2099,305,30.6,254,7.92,4.02
0.061,1.9,1.25,0.529,0.033,305,27.8,153,8.23,7.65
0.07,0.643,0.356,0.083,0.045,24.75,22.8,196,8.25,8.72
0.084,0.551,0.439,0.147,0.02,19.3,25.9,261,8.77,8.34
0.04,0.556,0.37,0.139,0.019,21.1,31.2,319,8.6,8.6
0.232,2.634,1.499,0.333,0.086,174,33.1,430,8,6.5
0.312,3.049,1.174,0.195,0.098,120,33.2,509,8.1,7.4
0.224,1.204,0.802,0.251,0.068,230,30.4,370,8.1,6.8
0.061357,0.712189,0.478489,0.0828,0.0396,41.33,24.8,250,8.5,9.16
0.086941,0.98469,0.9212,0.0619,0.039028,35,25.6,246,7.7,8
0.085843,0.457873,0.354074,0.108959,0.062314,10.5,27.8,295,8.6,8.83
0.011345,0.845881,0.682669,0.139676,0.048435,18.82,33.8,381,8.4,8.06
0.174893,1.952761,1.479398,0.229806,0.057922,30,36,365,9,10.65
0.130397,1.023105,0.809833,0.228652,0.050609,100,31.2,206,7.4,6.03
0.052999,0.516663,0.459507,0.093035,0.027578,21.43,23.1,211.6,8.5,10.35
0.116837,0.749778,0.654211,0.09516,0.030744,8.5,23.8,213,8.4,9.02
0.151919,0.931513,0.702157,0.112235,0.066881,8,26.7,243,8.4,8.15
0.174607,0.688134,0.502611,0.303991,0.083555,58,31.6,332,8.1,6.9
0.36418,1.555918,1.130019,0.382978,0.113744,132,31.9,395,8.4,6.37
0.25318,0.932613,0.695579,0.331729,0.054631,115.71,27.2,231,8,7.46
0.03839,0.64018,0.58288,0.03539,0.00507,17.5,23,230,8.3,8.91
0.05753,0.51296,0.45819,0.05762,0.03619,17,25.8,246,8.3,8.11
0.07629,0.70875,0.54932,0.08498,0.05164,13,29.2,284,8.3,8.23
0.045104,0.745558,0.496935,0.08813,0.06862,11.5,31.8,373,8.5,9.58
0.439966,4.374263,2.32127,0.43097,0.15673,248,32.6,395,7.6,5.62
0.30071,1.57965,1.14243,0.20828,0.10747,118.46,30.8,272,7.9,6.51
0.0257,0.94128,0.84797,0.08593,0.01816,11.5,23.7,292,8.4,8.73
0.089915,0.940677,0.582335,0.04317,0.04401,11.5,23.1,304,8.2,7.92
0.045152,0.519714,0.431612,0.07334,0.14371,17,25.2,247,8.6,9.13
0.038751,0.772479,0.580741,0.0689,0.06413,14.5,33.2,325,8.7,8.83
0.14669,2.503758,1.11586,0.30334,0.17949,198.18,29.3,318,8,7.47
0.072763,0.786743,0.562963,0.09901,0.06717,56.9,25.1,333,8.4,7.82
0.049428,0.677422,0.476428,0.08325,0.0359,16,24,142,8.3,7.56
0.151498,1.726547,1.076718,0.22866,0.1477,125.33,28.9,226,7.5,7.18
0.156325,1.16578,0.582698,0.14882,0.11241,233.5,27.8,285,8.4,6.39
0.0578,0.7315,0.6709,0.1418,0.001,88.3333,24.6,225,8,5.81
0.23,0.6677,0.4737,0.1613,0.0113,7.5,20.4,269,8.08,8.7
0.0702,0.7402,0.652,0.1355,0.0437,32,24.8,192.3,8.01,7.68
0.1004,2.3182,2.2078,0.1147,0.0457,10.5,30,314,8.23,6.75
0.0535,0.8616,0.6111,0.1536,0.064,36,32.5,396,8.01,6.54
0.2666,1.8041,1.2289,0.2499,0.0813,165,31,316,7.72,5.75
0.104,1.465,1.081,0.499,0.046,290,24.8,136,7.95,7.7
0.056,0.654,0.4,0.079,0.045,20.5,22,192,8.1,8.4
0.071,0.369,0.32,0.142,0.017,18,25.6,242,8.6,7.9
0.056,0.394,0.33,0.13,0.028,19,30.1,286,8.6,7.1
0.198,1.394,0.779,0.246,0.049,168,32.8,372,8.2,6.3
0.116,1.834,0.814,0.18,0.11,93.3,33.2,429,8,6.3
0.219,0.964,0.675,0.161,0.079,76.7,29,341,8,6.8
0.075895,0.498818,0.311718,0.0634,0.037,26.67,23.1,235,8.1,8.53
0.055331,0.340521,0.2811,0.0652,0.040831,41,25.9,168.7,7.6,7.94
0.092689,0.467814,0.35261,0.117255,0.07279,11,24.7,293,8.5,7.54
0.012897,1.104247,0.853469,0.203317,0.058931,78,31.5,361,8.1,5.95
0.265856,1.537038,0.847282,0.253008,0.133955,68,32.4,340,8.4,6.46
0.091599,1.136901,0.905753,0.2268,0.050635,90,30.6,205,7.1,6.6
0.03804,0.623974,0.486837,0.10003,0.022944,21.25,23,237,8.4,9.86
0.087668,0.659028,0.559163,0.068771,0.030948,7.5,23.3,207,8.3,8.73
0.117382,0.933651,0.740645,0.126804,0.067622,14.5,25.2,233,8.2,7.52
0.179881,0.910529,0.67013,0.393139,0.095339,157.14,29.4,310,8.1,6.4
0.256133,5.117202,4.609353,1.67899,0.148148,250,32.4,339,8.2,6.09
0.161061,,,,0.469668,145.88,29.1,246,8,7.31
0.04421,0.62312,0.54485,0.03326,0.00499,19,21.7,270,8.2,8.86
0.05071,0.58666,0.53943,0.05559,0.04095,19.5,24.6,251,8,7.97
0.07295,0.62034,0.43249,0.09646,0.05025,16.5,27.2,281,8,7.48
0.063498,0.55685,0.344283,0.07439,0.08671,14.5,31.1,337,8.1,7.02
0.393068,3.623365,2.139336,0.40031,0.1195,248,31.9,307,7.4,5.57
0.4246,1.58083,1.13123,0.24398,0.11988,125,29.6,271,8.1,6.28
0.03721,0.52582,0.48384,0.09063,0.02199,23,22.1,273,8.5,8.57
0.073824,0.676707,0.082674,0.03905,0.04524,19,22.8,272,8.2,7.79
0.034385,0.577014,0.505875,0.06894,0.04675,21,24.5,246,8.4,8.35
0.053654,0.754286,0.545524,0.07732,0.06794,10.5,31.1,304,8.3,6.52
0.031527,1.930497,1.136197,0.32754,0.32754,173.33,29.2,272,8.1,7.85
0.113524,0.781437,0.492274,0.08907,0.06001,47.5,25.4,196,8.3,7.81
0.048302,0.655682,0.436692,0.08988,0.03611,26,21.2,116,8.2,7.72
0.103529,1.423453,0.805419,0.16834,0.13621,60,27.5,216,7.5,7.03
0.124116,1.42959,0.983458,0.2983,0.11119,134.75,33.1,723,8.4,8.24
0.043,0.4797,0.4444,0.0744,0.008,42,21.3,490,8.53,9.27
0.0393,0.5566,0.4984,0.0895,0.0382,53,27.9,703,8.33,6.61
0.097,1.3715,1.3581,0.0749,0.0116,46.875,27.8,718,8.48,8.17
0.0509,1.818,1.8002,0.1951,0.0123,89,36.7,1471,7.74,10.75
0.2893,1.3608,1.1572,0.1598,0.0184,130,32.1,522,8.42,6.9
0.072,1.6062,0.8182,0.3036,0.0588,165,30,250,7.9,6.64
0.093,1.789,1.368,0.141,0.026,28,28.1,738,7.91,9.58
0.051,0.994,0.661,0.078,0.007,32,26.8,1094,8.3,10.1
0.236,0.588,0.448,0.064,0.029,46.7,26.2,1006.4,8.2,9.8
0.086,0.928,0.874,0.108,0.01,34,28.8,1105,8.3,8.5
0.06,0.845,0.789,0.106,0.009,54,28.5,1036,8.3,7.3
0.278,1.345,1.226,0.1,0.031,58,30.8,892,8.5,6.7
0.116,3.004,1.782,0.527,0.116,425,31.3,404,8.1,5.5
0.09924,0.984414,0.779014,0.10741,0.0039,74,25.8,773,8.8,9.32
0.119026,0.819272,0.788694,0.121178,0.01906,75.71,26.8,904,8.6,8.26
0.207243,1.316053,1.259548,0.214695,0.100753,90,31.4,1077,8.2,5.52
0.229091,4.082209,2.94211,0.870582,0.116091,520,31.6,218,7.1,4.24
0.120937,1.283213,0.962467,0.254923,0.079959,170,32.4,287,8,5.9
0.069192,1.273453,0.9244,0.41632,0.056636,160,28.8,217,7.7,9.09
0.054782,1.270313,0.5539,0.1273,0.032394,28,25.2,573,8.1,9.02
0.07321,0.882446,0.6976,0.1823,0.024293,26.67,27.9,430,8.2,9.54
0.107737,0.757089,0.715453,0.121119,0.032784,37.33,32,418,8.4,9.03
0.189535,0.852134,0.823105,0.146192,0.03894,60,33.5,793,8.2,6.75
0.358297,1.755963,1.100527,0.354094,0.098235,78,31.4,457,7.7,5.98
0.130381,1.28321,1.252982,0.153861,0.007668,37,30.5,928,8.2,11.9
0.04024,1.04772,0.70707,0.06078,0.00148,18,25.2,544,8.2,10.12
